2021-02-10 | 10:35:27.141 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-02-10 | 10:35:27.142 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2e3be03a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4023c01d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4f5bf48f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@57e7640c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@262c64fa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@78d17b0a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@683e0713, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@495c91c, org.springframework.test.context.event.EventPublishingTestExecutionListener@415b76c0, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@32a14cca, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2a3fd312, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@483260, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1abfa9df, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2240715e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@76b39147]
2021-02-10 | 10:35:27.207 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | Starting UserControllerTest on yeongsamnoui-MacBookPro.local with PID 1491 (started by YT in /Users/YT/Desktop/project/momelet/backend/spring)
2021-02-10 | 10:35:27.207 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | The following profiles are active: jwt,oauth,aws
2021-02-10 | 10:35:27.603 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-02-10 | 10:35:27.660 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 56ms. Found 11 JPA repository interfaces.
2021-02-10 | 10:35:27.779 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1735ad41' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-10 | 10:35:27.794 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-10 | 10:35:27.890 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-2 - Starting...
2021-02-10 | 10:35:27.959 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-2 - Start completed.
2021-02-10 | 10:35:27.978 | Test worker          |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [name: default]
2021-02-10 | 10:35:27.984 | Test worker          |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-02-10 | 10:35:28.120 | Test worker          |  INFO | .p.i.JtaPlatformInitiator | ID:          | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-02-10 | 10:35:28.120 | Test worker          |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-10 | 10:35:28.202 | Test worker          |  WARN | ation$JpaWebConfiguration | ID:          | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-02-10 | 10:35:28.813 | Test worker          |  INFO | e.w.EndpointLinksResolver | ID:          | Exposing 2 endpoint(s) beneath base path '/actuator'
2021-02-10 | 10:35:29.021 | Test worker          |  INFO | WelcomePageHandlerMapping | ID:          | Adding welcome page template: index
