2021-02-05 | 20:06:37.489 | Test worker          | ERROR | .s.c.RestaurantController | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다.
2021-02-05 | 20:06:37.489 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다. :100
2021-02-05 | 20:06:37.799 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be less than or equal to 0.02
2021-02-05 | 20:06:38.104 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-05 | 20:06:38.412 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'radius' is not present
2021-02-05 | 20:06:38.715 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-05 | 20:06:39.094 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 식당 카드가 7장 미만입니다.
2021-02-05 | 20:06:39.403 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be greater than or equal to 0.001
2021-02-05 | 20:06:39.711 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-05 | 20:06:40.059 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-05 | 20:06:40.415 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 식당 카드가 7장 미만입니다.
2021-02-05 | 20:06:40.702 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-05 | 20:06:40.702 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-05 | 20:06:41.008 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-05 | 20:06:41.321 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.longitude: must be less than or equal to 133
2021-02-05 | 20:06:41.650 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2021-02-05 | 20:06:41.972 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'longitude' is not present
2021-02-05 | 20:06:42.206 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2021-02-05 | 20:06:43.088 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2021-02-05 | 20:06:43.103 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2021-02-05 | 20:06:44.317 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(280) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-05 | 20:06:44.318 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(280) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-05 | 20:06:46.992 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2021-02-05 | 20:06:47.001 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2021-02-05 | 20:06:49.523 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(287) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-05 | 20:06:49.534 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(287) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-05 | 20:06:49.719 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2021-02-05 | 20:06:49.857 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-05 | 20:06:49.857 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-05 | 20:06:49.990 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2021-02-05 | 20:06:49.990 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2021-02-05 | 20:06:51.190 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(291) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-05 | 20:06:51.205 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(291) 저장된 리프레시 토큰과 일치하지 않습니다.
