2021-02-10 | 10:35:38.880 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다. :100
2021-02-10 | 10:35:39.167 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be less than or equal to 0.02
2021-02-10 | 10:35:39.462 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:39.751 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'radius' is not present
2021-02-10 | 10:35:40.039 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:40.408 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 식당 카드가 7장 미만입니다.
2021-02-10 | 10:35:40.680 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be greater than or equal to 0.001
2021-02-10 | 10:35:40.958 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:41.235 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:41.970 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-10 | 10:35:41.971 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-10 | 10:35:42.253 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:42.537 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.longitude: must be less than or equal to 133
2021-02-10 | 10:35:42.796 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2021-02-10 | 10:35:43.082 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'longitude' is not present
2021-02-10 | 10:35:43.285 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2021-02-10 | 10:35:43.746 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2021-02-10 | 10:35:43.759 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2021-02-10 | 10:35:44.947 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(136) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-10 | 10:35:44.948 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(136) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-10 | 10:35:47.586 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2021-02-10 | 10:35:47.596 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2021-02-10 | 10:35:50.046 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(143) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-10 | 10:35:50.056 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(143) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-10 | 10:35:50.218 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2021-02-10 | 10:35:50.328 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-10 | 10:35:50.329 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-10 | 10:35:50.438 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2021-02-10 | 10:35:50.439 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2021-02-10 | 10:35:51.613 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(147) 저장된 리프레시 토큰과 일치하지 않습니다.
2021-02-10 | 10:35:51.627 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(147) 저장된 리프레시 토큰과 일치하지 않습니다.
